Unnamed: 0,refArea,Variable Name,refPeriod,Age,Sex,Value,Unit,Sample Size,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status
42,e12000007,"Percentage of people who felt fairly or very safe walking alone in their local area after dark by sex, Apr 2022 to Mar 2023 by country, English region and age",2022-04-01/p1y,aged-16-years-and-over,female,75.1,Percentage,400,69.7,79.8,
43,e12000007,"Percentage of people who felt fairly or very safe walking alone in their local area after dark by sex, Apr 2022 to Mar 2023 by country, English region and age",2022-04-01/p1y,aged-16-years-and-over,male,90.4,Percentage,360,85.8,93.6,
44,e12000001,"Percentage of people who felt fairly or very safe walking alone in their local area after dark by sex, Apr 2022 to Mar 2023 by country, English region and age",2022-04-01/p1y,aged-16-years-and-over,female,59.8,Percentage,210,50.7,68.2,
45,e12000001,"Percentage of people who felt fairly or very safe walking alone in their local area after dark by sex, Apr 2022 to Mar 2023 by country, English region and age",2022-04-01/p1y,aged-16-years-and-over,male,89.4,Percentage,180,83.9,93.2,
46,e12000002,"Percentage of people who felt fairly or very safe walking alone in their local area after dark by sex, Apr 2022 to Mar 2023 by country, English region and age",2022-04-01/p1y,aged-16-years-and-over,female,66.1,Percentage,470,60.8,71.1,
47,e12000002,"Percentage of people who felt fairly or very safe walking alone in their local area after dark by sex, Apr 2022 to Mar 2023 by country, English region and age",2022-04-01/p1y,aged-16-years-and-over,male,90.4,Percentage,420,87.1,92.9,
48,e12000008,"Percentage of people who felt fairly or very safe walking alone in their local area after dark by sex, Apr 2022 to Mar 2023 by country, English region and age",2022-04-01/p1y,aged-16-years-and-over,female,67.9,Percentage,550,63.3,72.2,
49,e12000008,"Percentage of people who felt fairly or very safe walking alone in their local area after dark by sex, Apr 2022 to Mar 2023 by country, English region and age",2022-04-01/p1y,aged-16-years-and-over,male,90.7,Percentage,490,87.1,93.3,
50,e12000009,"Percentage of people who felt fairly or very safe walking alone in their local area after dark by sex, Apr 2022 to Mar 2023 by country, English region and age",2022-04-01/p1y,aged-16-years-and-over,female,75.3,Percentage,390,70.0,80.0,
51,e12000009,"Percentage of people who felt fairly or very safe walking alone in their local area after dark by sex, Apr 2022 to Mar 2023 by country, English region and age",2022-04-01/p1y,aged-16-years-and-over,male,91.1,Percentage,340,86.5,94.2,
52,w92000004,"Percentage of people who felt fairly or very safe walking alone in their local area after dark by sex, Apr 2022 to Mar 2023 by country, English region and age",2022-04-01/p1y,aged-16-years-and-over,female,68.1,Percentage,300,60.9,74.5,
53,w92000004,"Percentage of people who felt fairly or very safe walking alone in their local area after dark by sex, Apr 2022 to Mar 2023 by country, English region and age",2022-04-01/p1y,aged-16-years-and-over,male,91.1,Percentage,260,85.4,94.7,
54,e12000005,"Percentage of people who felt fairly or very safe walking alone in their local area after dark by sex, Apr 2022 to Mar 2023 by country, English region and age",2022-04-01/p1y,aged-16-years-and-over,female,62.3,Percentage,450,57.1,67.2,
55,e12000005,"Percentage of people who felt fairly or very safe walking alone in their local area after dark by sex, Apr 2022 to Mar 2023 by country, English region and age",2022-04-01/p1y,aged-16-years-and-over,male,87.4,Percentage,420,83.5,90.5,
56,e12000003,"Percentage of people who felt fairly or very safe walking alone in their local area after dark by sex, Apr 2022 to Mar 2023 by country, English region and age",2022-04-01/p1y,aged-16-years-and-over,female,67.9,Percentage,320,61.2,74.0,
57,e12000003,"Percentage of people who felt fairly or very safe walking alone in their local area after dark by sex, Apr 2022 to Mar 2023 by country, English region and age",2022-04-01/p1y,aged-16-years-and-over,male,87.2,Percentage,260,81.0,91.6,
