time_period,area_code,area_label,age_code,age_label,sex_code,sex_label,observation,measure,unit,sample_size,lcl_95,ucl_95,af_obs_status
2022-2023,E12000007,London,Y_GE16,Aged 16 years and over,M,Male,90.4,people who felt fairly or very safe walking alone in their local area after dark,PERCENT,360,85.8,93.6,
2022-2023,E12000001,North East,Y_GE16,Aged 16 years and over,F,Female,59.8,people who felt fairly or very safe walking alone in their local area after dark,PERCENT,210,50.7,68.2,
2022-2023,E12000001,North East,Y_GE16,Aged 16 years and over,M,Male,89.4,people who felt fairly or very safe walking alone in their local area after dark,PERCENT,180,83.9,93.2,
2022-2023,E12000002,North West,Y_GE16,Aged 16 years and over,F,Female,66.1,people who felt fairly or very safe walking alone in their local area after dark,PERCENT,470,60.8,71.1,
2022-2023,E12000002,North West,Y_GE16,Aged 16 years and over,M,Male,90.4,people who felt fairly or very safe walking alone in their local area after dark,PERCENT,420,87.1,92.9,
2022-2023,E12000008,South East,Y_GE16,Aged 16 years and over,F,Female,67.9,people who felt fairly or very safe walking alone in their local area after dark,PERCENT,550,63.3,72.2,
2022-2023,E12000008,South East,Y_GE16,Aged 16 years and over,M,Male,90.7,people who felt fairly or very safe walking alone in their local area after dark,PERCENT,490,87.1,93.3,
2022-2023,E12000009,South West,Y_GE16,Aged 16 years and over,F,Female,75.3,people who felt fairly or very safe walking alone in their local area after dark,PERCENT,390,70,80,
2022-2023,E12000009,South West,Y_GE16,Aged 16 years and over,M,Male,91.1,people who felt fairly or very safe walking alone in their local area after dark,PERCENT,340,86.5,94.2,
2022-2023,W92000004,Wales,Y_GE16,Aged 16 years and over,F,Female,68.1,people who felt fairly or very safe walking alone in their local area after dark,PERCENT,300,60.9,74.5,
2022-2023,W92000004,Wales,Y_GE16,Aged 16 years and over,M,Male,91.1,people who felt fairly or very safe walking alone in their local area after dark,PERCENT,260,85.4,94.7,
2022-2023,E12000005,West Midlands,Y_GE16,Aged 16 years and over,F,Female,62.3,people who felt fairly or very safe walking alone in their local area after dark,PERCENT,450,57.1,67.2,
2022-2023,E12000005,West Midlands,Y_GE16,Aged 16 years and over,M,Male,87.4,people who felt fairly or very safe walking alone in their local area after dark,PERCENT,420,83.5,90.5,
2022-2023,E12000003,Yorkshire and The Humber,Y_GE16,Aged 16 years and over,F,Female,67.9,people who felt fairly or very safe walking alone in their local area after dark,PERCENT,320,61.2,74,
2022-2023,E12000003,Yorkshire and The Humber,Y_GE16,,M,Male,87.2,people who felt fairly or very safe walking alone in their local area after dark,PERCENT,260,81,91.6,
